iter	Passed	Remaining
0	0	85
1	1	83
2	2	80
3	3	72
4	3	71
5	4	69
6	5	66
7	5	65
8	6	63
9	6	62
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	55
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	17	48
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	25	44
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	51	42
55	52	41
56	53	40
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	82	0
